PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO;DATASET_TYPE
PRJ_BILLING_001;Billing;67,5;121;8;0;3;1;5;B
PRJ_BILLING_002;Billing;115,4;194;13;0;4;2;8;B
PRJ_BILLING_003;Billing;37,8;70;5;0;0;0;4;B
PRJ_BILLING_004;Billing;33,5;66;1;0;4;5;4;B
PRJ_BILLING_005;Billing;43;70;5;0;0;0;4;B
PRJ_BILLING_006;Billing;33,6;59;0;0;3;3;7;B
PRJ_BILLING_007;Billing;270;250;3;0;17;3;28;B
PRJ_BILLING_008;Billing;12;43;3;0;1;1;1;B
PRJ_BILLING_009;Billing;28,9;50;3;0;2;3;0;B
PRJ_BILLING_010;Billing;110,3;99;3;0;10;1;5;B
PRJ_BILLING_011;Billing;20,5;42;1;1;3;2;1;B
PRJ_BILLING_012;Billing;20,1;42;2;0;2;1;2;B
PRJ_BILLING_013;Billing;50;59;5;0;1;0;1;B
PRJ_BILLING_014;Billing;31,5;49;0;0;5;1;5;B
PRJ_BILLING_015;Billing;18;39;1;0;1;5;1;B
PRJ_BILLING_016;Billing;20,2;36;1;0;3;1;2;B
PRJ_BILLING_017;Billing;15;33;2;0;1;1;1;B
PRJ_BILLING_018;Billing;37,9;40;0;0;3;2;4;B
PRJ_BILLING_019;Billing;10;33;2;0;1;1;1;B
PRJ_BILLING_020;Billing;16,8;33;1;0;1;1;3;B
PRJ_BILLING_021;Billing;60;40;2;0;3;2;0;B
PRJ_BILLING_022;Billing;47,9;39;0;0;3;3;3;B
PRJ_BILLING_023;Billing;16,2;30;0;0;4;1;2;B
PRJ_BILLING_024;Billing;28,9;35;0;0;2;3;3;B
PRJ_BILLING_025;Billing;35;34;0;0;3;3;2;B
PRJ_BILLING_026;Billing;24,6;33;0;0;3;4;1;B
PRJ_BILLING_027;Billing;26;32;2;0;3;0;0;B
PRJ_BILLING_028;Billing;6,2;23;1;0;1;1;1;B
PRJ_BILLING_029;Billing;8;25;1;0;0;0;3;B
PRJ_BILLING_030;Billing;9;23;0;0;1;1;3;B
PRJ_BILLING_031;Billing;20,3;26;0;0;3;1;2;B
PRJ_BILLING_032;Billing;10;21;0;0;3;1;1;B
PRJ_BILLING_033;Billing;6,2;21;0;0;3;1;1;B
PRJ_BILLING_034;Billing;7,3;22;0;0;2;1;2;B
PRJ_BILLING_035;Billing;5;17;0;0;1;2;1;B
