PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO;DATASET_TYPE
ST_01;Extreme;118,9;244;5;6;11;17;8;STD
ST_02;Extreme;195,2;403;8;10;15;27;17;STD
ST_03;Extreme;191,07;392;8;9;18;23;17;STD
ST_04;Extreme;244,14;466;9;14;19;28;18;STD
ST_05;Extreme;151,96;303;6;8;15;18;11;STD
ST_06;Extreme;237,6;491;11;12;19;29;21;STD
ST_07;Extreme;213,11;434;8;12;17;28;18;STD
ST_08;Extreme;106,51;219;4;6;9;14;9;STD
ST_09;Extreme;259,31;522;10;13;22;37;19;STD
ST_10;Extreme;183,16;364;7;9;16;23;15;STD
ST_11;Extreme;238,93;468;11;12;18;28;18;STD
ST_12;Extreme;234,82;454;10;11;19;29;17;STD
ST_13;Extreme;206,17;398;8;10;15;27;16;STD
ST_14;Extreme;101,69;195;4;5;8;12;8;STD
ST_15;Extreme;269;553;10;14;26;34;23;STD
ST_16;Extreme;256,64;498;11;12;21;30;20;STD
ST_17;Extreme;168,65;335;7;9;14;19;14;STD
ST_18;Extreme;210,13;420;8;13;17;24;17;STD
ST_19;Extreme;144,33;291;6;8;14;16;11;STD
ST_20;Extreme;227,49;436;8;13;19;26;17;STD
ST_21;Extreme;219,19;431;10;14;18;24;13;STD
ST_22;Extreme;186,99;376;7;9;16;26;15;STD
ST_23;Extreme;250,58;522;9;13;22;37;21;STD
ST_24;Extreme;255,17;501;9;12;20;38;19;STD
ST_25;Extreme;239,39;457;10;12;19;28;17;STD
ST_26;Extreme;194,13;389;7;9;17;27;16;STD
ST_27;Extreme;302,18;590;13;15;22;38;23;STD
ST_28;Extreme;177,24;358;6;8;18;25;14;STD
ST_29;Extreme;200,23;381;7;9;18;24;16;STD
ST_30;Extreme;151,77;306;7;8;14;16;12;STD
ST_31;Extreme;173,96;341;6;9;17;20;14;STD
ST_32;Extreme;186,47;375;8;10;18;22;13;STD
ST_33;Extreme;299,05;624;12;14;26;38;30;STD
ST_34;Extreme;151,02;311;6;7;13;20;14;STD
ST_35;Extreme;190,5;395;7;11;16;26;16;STD
ST_36;Extreme;393,56;753;13;24;27;43;35;STD
ST_37;Extreme;252,44;488;9;13;25;28;19;STD
ST_38;Extreme;221,91;424;9;11;16;27;17;STD
ST_39;Extreme;193,22;400;8;11;17;25;15;STD
ST_40;Extreme;156,48;309;6;7;15;20;12;STD
ST_41;Extreme;92,81;192;4;4;9;12;8;STD
ST_42;Extreme;190,46;367;8;8;15;24;15;STD
ST_43;Extreme;214;418;8;11;22;22;17;STD
ST_44;Extreme;257,95;507;10;11;23;37;18;STD
ST_45;Extreme;310,84;611;12;14;25;42;25;STD
ST_46;Extreme;209,95;411;8;12;17;26;15;STD
ST_47;Extreme;237,64;486;10;11;22;29;21;STD
ST_48;Extreme;282,03;580;13;13;26;35;23;STD
ST_49;Extreme;221,06;445;9;11;20;27;18;STD
ST_50;Extreme;296,55;599;13;12;27;38;25;STD
EX_01;Extreme;366,75;444;4;25;31;15;9;B
EX_02;Extreme;384,36;427;6;8;14;35;23;B
EX_03;Extreme;1680;336;16;19;1;1;7;B
EX_04;Extreme;63,36;144;1;5;3;8;11;B
EX_05;Extreme;56,72;432;2;11;21;9;43;B
EX_06;Extreme;951,61;440;7;33;23;3;7;B
EX_07;Extreme;1268,72;536;8;7;34;54;11;B
EX_08;Extreme;105,39;632;13;1;44;21;47;B
EX_09;Extreme;152,23;312;3;10;20;18;12;B
EX_10;Extreme;173,9;463;4;6;15;39;33;B
EX_11;Extreme;142,34;375;6;7;10;19;30;B
EX_12;Extreme;871,13;812;24;16;19;36;48;B
EX_13;Extreme;71,04;284;2;5;15;21;17;B
EX_14;Extreme;352,79;515;17;7;19;20;28;B
EX_15;Extreme;2108,42;874;29;19;44;35;27;B
EX_16;Extreme;704,42;826;29;19;49;8;35;B
EX_17;Extreme;3405;681;22;41;24;12;6;B
EX_18;Extreme;112,14;527;3;7;59;23;24;B
EX_19;Extreme;253,47;332;7;12;17;10;14;B
EX_20;Extreme;560,19;270;6;3;17;24;5;B
EX_21;Extreme;2800;560;15;31;19;13;13;B
EX_22;Extreme;1809,79;942;20;53;34;15;35;B
EX_23;Extreme;145,77;505;2;14;44;39;11;B
EX_24;Extreme;2255;451;3;31;6;20;20;B
EX_25;Extreme;3020;604;18;24;10;34;16;B
EX_26;Extreme;873,37;412;8;3;41;23;11;B
EX_27;Extreme;333,89;452;3;10;13;40;28;B
EX_28;Extreme;1295;259;8;4;6;18;11;B
EX_29;Extreme;225,26;644;1;27;40;35;29;B
EX_30;Extreme;274,78;740;7;19;57;31;37;B
EX_31;Extreme;1160;232;4;5;8;25;5;B
EX_32;Extreme;2015;403;12;9;15;35;4;B
EX_33;Extreme;3425;685;14;5;16;99;10;B
EX_34;Extreme;147,36;403;5;12;22;19;21;B
EX_35;Extreme;3125;625;15;6;20;57;25;B
EX_36;Extreme;3545;709;3;48;9;58;15;B
EX_37;Extreme;81,47;250;3;2;10;9;26;B
EX_38;Extreme;275,69;143;5;1;7;7;6;B
EX_39;Extreme;2905;581;13;15;12;67;6;B
EX_40;Extreme;166,69;386;20;2;35;3;4;B
EX_41;Extreme;24,87;140;2;2;17;7;2;B
EX_42;Extreme;3295;659;12;19;20;64;14;B
EX_43;Extreme;134,83;427;3;16;44;21;5;B
EX_44;Extreme;3240;648;12;26;19;35;26;B
EX_45;Extreme;396,06;575;5;12;68;36;5;B
EX_46;Extreme;136,86;448;5;6;39;15;28;B
EX_47;Extreme;46,28;322;9;7;40;2;3;B
EX_48;Extreme;690;138;1;4;4;16;4;B
EX_49;Extreme;47,48;225;1;11;20;7;6;B
EX_50;Extreme;107,38;539;12;10;29;17;33;B
EX_51;Extreme;959,31;643;11;17;19;47;30;B
EX_52;Extreme;226,59;668;9;5;24;48;51;B
EX_53;Extreme;265,37;536;6;23;19;21;31;B
EX_54;Extreme;295,37;121;4;1;4;7;6;B
EX_55;Extreme;3960;792;20;22;5;72;26;B
EX_56;Extreme;1106,38;507;20;5;8;15;36;B
EX_57;Extreme;370,24;753;14;10;60;42;27;B
EX_58;Extreme;118,27;356;5;17;14;9;19;B
EX_59;Extreme;69,97;210;5;5;19;1;9;B
EX_60;Extreme;3335;667;16;19;13;38;34;B
EX_61;Extreme;2125;425;12;10;14;31;11;B
EX_62;Extreme;371,36;789;11;13;73;49;20;B
EX_63;Extreme;3683,21;759;16;16;38;60;19;B
EX_64;Extreme;439,64;847;25;4;41;40;49;B
EX_65;Extreme;711,1;685;20;7;12;32;52;B
EX_66;Extreme;585;117;3;2;7;10;1;B
EX_67;Extreme;1085;217;8;2;10;12;7;B
EX_68;Extreme;39,77;222;3;1;12;8;21;B
EX_69;Extreme;2780;556;13;9;27;45;15;B
EX_70;Extreme;223,49;340;5;7;19;25;13;B
EX_71;Extreme;885;177;5;5;9;9;4;B
EX_72;Extreme;49,61;398;3;1;49;10;25;B
EX_73;Extreme;1550;310;11;9;12;11;9;B
EX_74;Extreme;403,42;356;2;4;11;36;24;B
EX_75;Extreme;2945;589;21;17;26;34;4;B
EX_76;Extreme;1545;309;9;6;8;20;13;B
EX_77;Extreme;536,61;924;2;24;25;64;76;B
EX_78;Extreme;200,77;403;12;11;34;5;10;B
EX_79;Extreme;571,05;884;30;16;59;24;28;B
EX_80;Extreme;31,54;182;1;2;17;10;10;B
MI_01;Extreme;143,86;294;5;6;14;19;14;MIS
MI_02;Extreme;211,9;404;9;10;16;25;16;MIS
MI_03;Extreme;198,82;390;9;9;19;24;13;MIS
MI_04;Extreme;246,17;470;9;13;25;26;17;MIS
MI_05;Extreme;340,5;653;14;17;30;36;26;MIS
MI_06;Extreme;232,85;471;9;11;19;32;20;MIS
MI_07;Extreme;283,23;539;12;16;22;31;19;MIS
MI_08;Extreme;100,99;211;4;5;8;16;8;MIS
MI_09;Extreme;213,74;413;7;12;20;26;15;MIS
MI_10;Extreme;247,64;518;9;15;24;33;19;MIS
MI_11;Extreme;118,38;226;5;6;9;12;10;MIS
MI_12;Extreme;184,41;361;7;8;17;23;15;MIS
MI_13;Extreme;155,41;320;6;8;12;24;12;MIS
MI_14;Extreme;266,17;515;10;14;27;26;21;MIS
MI_15;Extreme;167,69;345;7;8;17;24;11;MIS
MI_16;Extreme;108,22;216;4;4;11;16;8;MIS
MI_17;Extreme;318,85;658;11;16;34;35;32;MIS
MI_18;Extreme;214,4;428;8;13;15;28;17;MIS
MI_19;Extreme;160,43;318;6;7;11;20;17;MIS
MI_20;Extreme;271,09;540;11;14;26;27;24;MIS
MI_21;Extreme;122,01;243;5;5;10;17;10;MIS
MI_22;Extreme;194,85;388;9;9;14;26;15;MIS
MI_23;Extreme;108,08;210;5;5;8;12;9;MIS
MI_24;Extreme;206,43;415;7;12;22;27;13;MIS
MI_25;Extreme;173,91;337;8;11;12;18;12;MIS
MI_26;Extreme;178,81;361;8;9;15;22;14;MIS
MI_27;Extreme;240,41;468;8;13;27;31;13;MIS
MI_28;Extreme;130,47;269;6;7;10;20;8;MIS
