PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO;DATASET_TYPE
ST_01;Standard;118,9;244;5;6;11;17;8;B
ST_02;Standard;195,2;403;8;10;15;27;17;B
ST_03;Standard;191,07;392;8;9;18;23;17;B
ST_04;Standard;244,14;466;9;14;19;28;18;B
ST_05;Standard;151,96;303;6;8;15;18;11;B
ST_06;Standard;237,6;491;11;12;19;29;21;B
ST_07;Standard;213,11;434;8;12;17;28;18;B
ST_08;Standard;106,51;219;4;6;9;14;9;B
ST_09;Standard;259,31;522;10;13;22;37;19;B
ST_10;Standard;183,16;364;7;9;16;23;15;B
ST_11;Standard;238,93;468;11;12;18;28;18;B
ST_12;Standard;234,82;454;10;11;19;29;17;B
ST_13;Standard;206,17;398;8;10;15;27;16;B
ST_14;Standard;101,69;195;4;5;8;12;8;B
ST_15;Standard;269;553;10;14;26;34;23;B
ST_16;Standard;256,64;498;11;12;21;30;20;B
ST_17;Standard;168,65;335;7;9;14;19;14;B
ST_18;Standard;210,13;420;8;13;17;24;17;B
ST_19;Standard;144,33;291;6;8;14;16;11;B
ST_20;Standard;227,49;436;8;13;19;26;17;B
ST_21;Standard;219,19;431;10;14;18;24;13;B
ST_22;Standard;186,99;376;7;9;16;26;15;B
ST_23;Standard;250,58;522;9;13;22;37;21;B
ST_24;Standard;255,17;501;9;12;20;38;19;B
ST_25;Standard;239,39;457;10;12;19;28;17;B
ST_26;Standard;194,13;389;7;9;17;27;16;B
ST_27;Standard;302,18;590;13;15;22;38;23;B
ST_28;Standard;177,24;358;6;8;18;25;14;B
ST_29;Standard;200,23;381;7;9;18;24;16;B
ST_30;Standard;151,77;306;7;8;14;16;12;B
ST_31;Standard;173,96;341;6;9;17;20;14;B
ST_32;Standard;186,47;375;8;10;18;22;13;B
ST_33;Standard;299,05;624;12;14;26;38;30;B
ST_34;Standard;151,02;311;6;7;13;20;14;B
ST_35;Standard;190,5;395;7;11;16;26;16;B
ST_36;Standard;393,56;753;13;24;27;43;35;B
ST_37;Standard;252,44;488;9;13;25;28;19;B
ST_38;Standard;221,91;424;9;11;16;27;17;B
ST_39;Standard;193,22;400;8;11;17;25;15;B
ST_40;Standard;156,48;309;6;7;15;20;12;B
ST_41;Standard;92,81;192;4;4;9;12;8;B
ST_42;Standard;190,46;367;8;8;15;24;15;B
ST_43;Standard;214;418;8;11;22;22;17;B
ST_44;Standard;257,95;507;10;11;23;37;18;B
ST_45;Standard;310,84;611;12;14;25;42;25;B
ST_46;Standard;209,95;411;8;12;17;26;15;B
ST_47;Standard;237,64;486;10;11;22;29;21;B
ST_48;Standard;282,03;580;13;13;26;35;23;B
ST_49;Standard;221,06;445;9;11;20;27;18;B
ST_50;Standard;296,55;599;13;12;27;38;25;B
EX_01;Standard;366,75;444;4;25;31;15;9;EXT
EX_02;Standard;384,36;427;6;8;14;35;23;EXT
EX_03;Standard;1680;336;16;19;1;1;7;EXT
EX_04;Standard;63,36;144;1;5;3;8;11;EXT
EX_05;Standard;56,72;432;2;11;21;9;43;EXT
EX_06;Standard;951,61;440;7;33;23;3;7;EXT
EX_07;Standard;1268,72;536;8;7;34;54;11;EXT
EX_08;Standard;105,39;632;13;1;44;21;47;EXT
EX_09;Standard;152,23;312;3;10;20;18;12;EXT
EX_10;Standard;173,9;463;4;6;15;39;33;EXT
EX_11;Standard;142,34;375;6;7;10;19;30;EXT
EX_12;Standard;871,13;812;24;16;19;36;48;EXT
EX_13;Standard;71,04;284;2;5;15;21;17;EXT
EX_14;Standard;352,79;515;17;7;19;20;28;EXT
EX_15;Standard;2108,42;874;29;19;44;35;27;EXT
EX_16;Standard;704,42;826;29;19;49;8;35;EXT
EX_17;Standard;3405;681;22;41;24;12;6;EXT
EX_18;Standard;112,14;527;3;7;59;23;24;EXT
EX_19;Standard;253,47;332;7;12;17;10;14;EXT
EX_20;Standard;560,19;270;6;3;17;24;5;EXT
EX_21;Standard;2800;560;15;31;19;13;13;EXT
EX_22;Standard;1809,79;942;20;53;34;15;35;EXT
EX_23;Standard;145,77;505;2;14;44;39;11;EXT
EX_24;Standard;2255;451;3;31;6;20;20;EXT
EX_25;Standard;3020;604;18;24;10;34;16;EXT
EX_26;Standard;873,37;412;8;3;41;23;11;EXT
EX_27;Standard;333,89;452;3;10;13;40;28;EXT
EX_28;Standard;1295;259;8;4;6;18;11;EXT
EX_29;Standard;225,26;644;1;27;40;35;29;EXT
EX_30;Standard;274,78;740;7;19;57;31;37;EXT
EX_31;Standard;1160;232;4;5;8;25;5;EXT
EX_32;Standard;2015;403;12;9;15;35;4;EXT
EX_33;Standard;3425;685;14;5;16;99;10;EXT
EX_34;Standard;147,36;403;5;12;22;19;21;EXT
EX_35;Standard;3125;625;15;6;20;57;25;EXT
EX_36;Standard;3545;709;3;48;9;58;15;EXT
EX_37;Standard;81,47;250;3;2;10;9;26;EXT
EX_38;Standard;275,69;143;5;1;7;7;6;EXT
EX_39;Standard;2905;581;13;15;12;67;6;EXT
EX_40;Standard;166,69;386;20;2;35;3;4;EXT
EX_41;Standard;24,87;140;2;2;17;7;2;EXT
EX_42;Standard;3295;659;12;19;20;64;14;EXT
EX_43;Standard;134,83;427;3;16;44;21;5;EXT
EX_44;Standard;3240;648;12;26;19;35;26;EXT
EX_45;Standard;396,06;575;5;12;68;36;5;EXT
EX_46;Standard;136,86;448;5;6;39;15;28;EXT
