PROJECT_CODE,APPLICATION_DOMAIN,FP_EFFORT,IFPUG_FP,IFPUG_ILF,IFPUG_EIF,IFPUG_EI,IFPUG_EQ,IFPUG_EO,IFPUG_PROD_GREZZA_FP,IS_ILF,IS_EIF,IS_EI,IS_EQ,IS_EO,IFPUG_PROD_ATTESA_FP,STRUCTURAL_PROD_INDEX,DIST_STRUTTURALE,CLUSTER,DATASET_TYPE,CLASSE_COERENZA,NOTE_PROFILO
PRJ_BILLING_001,Billing,67.5,121.0,8.0,0.0,3.0,1.0,5.0,1.7925925925925925,0.47058823529411764,0.0,0.17647058823529413,0.058823529411764705,0.29411764705882354,2.1620139491034758,0.8291309097871123,0.35736022014975377,0,B,Media coerenza,Structure and/or productivity show moderate deviations but remain compatible with the reference structural profile.
PRJ_BILLING_002,Billing,115.4,194.0,13.0,0.0,4.0,2.0,8.0,1.681109185441941,0.48148148148148145,0.0,0.14814814814814814,0.07407407407407407,0.2962962962962963,2.2250532023905363,0.7555366243089394,0.37366316238830344,0,B,Media coerenza,Structure and/or productivity show moderate deviations but remain compatible with the reference structural profile.
PRJ_BILLING_003,Billing,37.8,70.0,5.0,0.0,0.0,0.0,4.0,1.851851851851852,0.5555555555555556,0.0,0.0,0.0,0.4444444444444444,2.5129654736951057,0.7369189394905847,0.5428472244648729,0,B,Bassa coerenza,Structure and/or productivity differ significantly from the reference structural profile; the project may represent an outlier or a non-comparable context.
PRJ_BILLING_004,Billing,33.5,66.0,1.0,0.0,4.0,5.0,4.0,1.9701492537313432,0.07142857142857142,0.0,0.2857142857142857,0.35714285714285715,0.2857142857142857,1.9784337486742407,0.9958125992601728,0.21184911321145622,0,B,Alta coerenza,Structure and productivity are aligned with the reference structural profile for the corresponding application domain and cluster.
PRJ_BILLING_005,Billing,43.0,70.0,5.0,0.0,0.0,0.0,4.0,1.627906976744186,0.5555555555555556,0.0,0.0,0.0,0.4444444444444444,2.5129654736951057,0.6478031607614907,0.5428472244648729,0,B,Bassa coerenza,Structure and/or productivity differ significantly from the reference structural profile; the project may represent an outlier or a non-comparable context.
PRJ_BILLING_006,Billing,33.6,59.0,0.0,0.0,3.0,3.0,7.0,1.755952380952381,0.0,0.0,0.23076923076923078,0.23076923076923078,0.5384615384615384,2.045328901857856,0.8585183436059489,0.2814645597355491,0,B,Media coerenza,Structure and/or productivity show moderate deviations but remain compatible with the reference structural profile.
PRJ_BILLING_007,Billing,270.0,250.0,3.0,0.0,17.0,3.0,28.0,0.9259259259259259,0.058823529411764705,0.0,0.3333333333333333,0.058823529411764705,0.5490196078431373,1.795394792819866,0.5157227422229831,0.26751511502424574,0,B,Media coerenza,Structure and/or productivity show moderate deviations but remain compatible with the reference structural profile.
PRJ_BILLING_008,Billing,12.0,43.0,3.0,0.0,1.0,1.0,1.0,3.5833333333333335,0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.2161023005834095,1.6169530316312508,0.40269393185004326,0,B,Bassa coerenza,Structure and/or productivity differ significantly from the reference structural profile; the project may represent an outlier or a non-comparable context.
PRJ_BILLING_009,Billing,28.9,50.0,3.0,0.0,2.0,3.0,0.0,1.7301038062283738,0.375,0.0,0.25,0.375,0.0,2.0918051818767966,0.8270864902801802,0.44662938057491147,0,B,Bassa coerenza,Structure and/or productivity differ significantly from the reference structural profile; the project may represent an outlier or a non-comparable context.
PRJ_BILLING_010,Billing,110.3,99.0,3.0,0.0,10.0,1.0,5.0,0.8975521305530372,0.15789473684210525,0.0,0.5263157894736842,0.05263157894736842,0.2631578947368421,1.4142060694388447,0.6346685606498527,0.25471989902559106,0,B,Media coerenza,Structure and/or productivity show moderate deviations but remain compatible with the reference structural profile.
