PROJECT_CODE,APPLICATION_DOMAIN,CLUSTER,DATASET_TYPE,DIST_STRUTTURALE,IFPUG_PROD_ATTESA_FP
PRJ_BILLING_001,Billing,0,B,0.35736022014975377,2.1620139491034758
PRJ_BILLING_002,Billing,0,B,0.37366316238830344,2.2250532023905363
PRJ_BILLING_003,Billing,0,B,0.5428472244648729,2.5129654736951057
PRJ_BILLING_004,Billing,0,B,0.21184911321145622,1.9784337486742407
PRJ_BILLING_005,Billing,0,B,0.5428472244648729,2.5129654736951057
PRJ_BILLING_006,Billing,0,B,0.2814645597355491,2.045328901857856
PRJ_BILLING_007,Billing,0,B,0.26751511502424574,1.795394792819866
PRJ_BILLING_008,Billing,0,B,0.40269393185004326,2.2161023005834095
PRJ_BILLING_009,Billing,0,B,0.44662938057491147,2.0918051818767966
PRJ_BILLING_010,Billing,0,B,0.25471989902559106,1.4142060694388447
PRJ_BILLING_011,Billing,0,B,0.2633161569851686,2.001134429948953
PRJ_BILLING_012,Billing,0,B,0.13707150517360414,1.9426910256102987
PRJ_BILLING_013,Billing,0,B,0.6312966283559539,2.2421903771268785
PRJ_BILLING_014,Billing,0,B,0.26172216356876843,1.5519114106611898
PRJ_BILLING_015,Billing,0,B,0.5321716889748228,2.3868559652582753
PRJ_BILLING_016,Billing,0,B,0.1296458965007914,1.636255143226764
PRJ_BILLING_017,Billing,0,B,0.2947679445690656,2.1462191185628745
PRJ_BILLING_018,Billing,0,B,0.20490821213612717,1.835014942422056
PRJ_BILLING_019,Billing,0,B,0.2947679445690656,2.1462191185628745
PRJ_BILLING_020,Billing,0,B,0.22281117987398205,2.176687747840175
PRJ_BILLING_021,Billing,0,B,0.3886568692100873,1.6938675276207356
PRJ_BILLING_022,Billing,0,B,0.22903659401640658,1.8666863904807336
PRJ_BILLING_023,Billing,0,B,0.31058038007841854,1.329819260843229
PRJ_BILLING_024,Billing,0,B,0.2699917130426718,2.0474638100406577
PRJ_BILLING_025,Billing,0,B,0.2786437879349805,1.7941128702337776
PRJ_BILLING_026,Billing,0,B,0.4239095688706152,1.8297432492997898
PRJ_BILLING_027,Billing,0,B,0.5280027228364328,1.2784875046752386
PRJ_BILLING_028,Billing,0,B,0.1548442725463503,2.0413943455320718
PRJ_BILLING_029,Billing,0,B,0.5571078475517102,2.4768354670138075
PRJ_BILLING_030,Billing,0,B,0.33446531075592606,2.098921655270993
PRJ_BILLING_031,Billing,0,B,0.24819309991312644,1.4813779653168773
PRJ_BILLING_032,Billing,0,B,0.3564504418804663,1.2881986478889764
