PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO
ST_01;Standard;118,9;244;5;6;11;17;8
ST_02;Standard;195,2;403;8;10;15;27;17
ST_03;Standard;191,07;392;8;9;18;23;17
ST_04;Standard;244,14;466;9;14;19;28;18
ST_05;Standard;151,96;303;6;8;15;18;11
ST_06;Standard;237,6;491;11;12;19;29;21
ST_07;Standard;213,11;434;8;12;17;28;18
ST_08;Standard;106,51;219;4;6;9;14;9
ST_09;Standard;259,31;522;10;13;22;37;19
ST_10;Standard;183,16;364;7;9;16;23;15
ST_11;Standard;238,93;468;11;12;18;28;18
ST_12;Standard;234,82;454;10;11;19;29;17
ST_13;Standard;206,17;398;8;10;15;27;16
ST_14;Standard;101,69;195;4;5;8;12;8
ST_15;Standard;269,0;553;10;14;26;34;23
ST_16;Standard;256,64;498;11;12;21;30;20
ST_17;Standard;168,65;335;7;9;14;19;14
ST_18;Standard;210,13;420;8;13;17;24;17
ST_19;Standard;144,33;291;6;8;14;16;11
ST_20;Standard;227,49;436;8;13;19;26;17
ST_21;Standard;219,19;431;10;14;18;24;13
ST_22;Standard;186,99;376;7;9;16;26;15
ST_23;Standard;250,58;522;9;13;22;37;21
ST_24;Standard;255,17;501;9;12;20;38;19
ST_25;Standard;239,39;457;10;12;19;28;17
ST_26;Standard;194,13;389;7;9;17;27;16
ST_27;Standard;302,18;590;13;15;22;38;23
ST_28;Standard;177,24;358;6;8;18;25;14
ST_29;Standard;200,23;381;7;9;18;24;16
ST_30;Standard;151,77;306;7;8;14;16;12
ST_31;Standard;173,96;341;6;9;17;20;14
ST_32;Standard;186,47;375;8;10;18;22;13
ST_33;Standard;299,05;624;12;14;26;38;30
ST_34;Standard;151,02;311;6;7;13;20;14
ST_35;Standard;190,5;395;7;11;16;26;16
ST_36;Standard;393,56;753;13;24;27;43;35
ST_37;Standard;252,44;488;9;13;25;28;19
ST_38;Standard;221,91;424;9;11;16;27;17
ST_39;Standard;193,22;400;8;11;17;25;15
ST_40;Standard;156,48;309;6;7;15;20;12
ST_41;Standard;92,81;192;4;4;9;12;8
ST_42;Standard;190,46;367;8;8;15;24;15
ST_43;Standard;214,0;418;8;11;22;22;17
ST_44;Standard;257,95;507;10;11;23;37;18
ST_45;Standard;310,84;611;12;14;25;42;25
ST_46;Standard;209,95;411;8;12;17;26;15
ST_47;Standard;237,64;486;10;11;22;29;21
ST_48;Standard;282,03;580;13;13;26;35;23
ST_49;Standard;221,06;445;9;11;20;27;18
ST_50;Standard;296,55;599;13;12;27;38;25
