PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO
MI_01;Mismatch_IS_Beta;143,86;294;5;6;14;19;14
MI_02;Mismatch_IS_Beta;211,9;404;9;10;16;25;16
MI_03;Mismatch_IS_Beta;198,82;390;9;9;19;24;13
MI_04;Mismatch_IS_Beta;246,17;470;9;13;25;26;17
MI_05;Mismatch_IS_Beta;340,5;653;14;17;30;36;26
MI_06;Mismatch_IS_Beta;232,85;471;9;11;19;32;20
MI_07;Mismatch_IS_Beta;283,23;539;12;16;22;31;19
MI_08;Mismatch_IS_Beta;100,99;211;4;5;8;16;8
MI_09;Mismatch_IS_Beta;213,74;413;7;12;20;26;15
MI_10;Mismatch_IS_Beta;247,64;518;9;15;24;33;19
MI_11;Mismatch_IS_Beta;118,38;226;5;6;9;12;10
MI_12;Mismatch_IS_Beta;184,41;361;7;8;17;23;15
MI_13;Mismatch_IS_Beta;155,41;320;6;8;12;24;12
MI_14;Mismatch_IS_Beta;266,17;515;10;14;27;26;21
MI_15;Mismatch_IS_Beta;167,69;345;7;8;17;24;11
MI_16;Mismatch_IS_Beta;108,22;216;4;4;11;16;8
MI_17;Mismatch_IS_Beta;318,85;658;11;16;34;35;32
MI_18;Mismatch_IS_Beta;214,4;428;8;13;15;28;17
MI_19;Mismatch_IS_Beta;160,43;318;6;7;11;20;17
MI_20;Mismatch_IS_Beta;271,09;540;11;14;26;27;24
MI_21;Mismatch_IS_Beta;122,01;243;5;5;10;17;10
MI_22;Mismatch_IS_Beta;194,85;388;9;9;14;26;15
MI_23;Mismatch_IS_Beta;108,08;210;5;5;8;12;9
MI_24;Mismatch_IS_Beta;206,43;415;7;12;22;27;13
MI_25;Mismatch_IS_Beta;173,91;337;8;11;12;18;12
MI_26;Mismatch_IS_Beta;178,81;361;8;9;15;22;14
MI_27;Mismatch_IS_Beta;240,41;468;8;13;27;31;13
MI_28;Mismatch_IS_Beta;130,47;269;6;7;10;20;8
MI_29;Mismatch_IS_Beta;198,44;387;6;12;18;24;15
MI_30;Mismatch_IS_Beta;275,19;550;9;12;29;35;24
MI_31;Mismatch_IS_Beta;179,06;344;6;6;14;29;14
MI_32;Mismatch_IS_Beta;174,84;365;7;9;16;17;20
MI_33;Mismatch_IS_Beta;63,1;132;2;5;4;9;5
MI_34;Mismatch_IS_Beta;86,6;169;4;4;8;11;5
MI_35;Mismatch_IS_Beta;174,16;350;5;8;12;29;16
MI_36;Mismatch_IS_Beta;151,99;293;8;8;11;17;9
MI_37;Mismatch_IS_Beta;234,49;483;8;17;21;30;16
MI_38;Mismatch_IS_Beta;280,62;563;10;18;24;34;21
MI_39;Mismatch_IS_Beta;193,51;370;8;7;17;27;13
MI_40;Mismatch_IS_Beta;193,47;375;7;8;12;29;17
MI_41;Mismatch_IS_Beta;245,8;490;9;11;23;29;23
MI_42;Mismatch_IS_Beta;149,33;291;9;7;12;16;8
MI_43;Mismatch_IS_Beta;181,04;368;6;7;12;29;19
MI_44;Mismatch_IS_Beta;204,25;401;10;8;23;22;13
MI_45;Mismatch_IS_Beta;131,72;265;7;5;10;15;12
MI_46;Mismatch_IS_Beta;134,9;282;6;7;13;14;13
MI_47;Mismatch_IS_Beta;97,39;190;3;5;10;10;9
MI_48;Mismatch_IS_Beta;164,94;339;6;8;14;23;15
MI_49;Mismatch_IS_Beta;166,65;338;8;11;12;17;13
MI_50;Mismatch_IS_Beta;255,27;520;11;12;23;36;18
MI_51;Mismatch_IS_Beta;91,64;188;3;5;10;12;7
MI_52;Mismatch_IS_Beta;277,13;564;13;13;20;32;27
MI_53;Mismatch_IS_Beta;236,18;494;8;15;14;37;21
MI_54;Mismatch_IS_Beta;114,99;237;4;6;9;16;11
MI_55;Mismatch_IS_Beta;207,46;413;7;10;18;29;17
MI_56;Mismatch_IS_Beta;200,7;399;8;10;15;26;17
MI_57;Mismatch_IS_Beta;156,57;323;6;8;13;20;15
MI_58;Mismatch_IS_Beta;229,89;468;11;9;20;25;23
MI_59;Mismatch_IS_Beta;249,37;500;7;12;27;32;22
MI_60;Mismatch_IS_Beta;243,95;484;8;13;22;30;21
MI_61;Mismatch_IS_Beta;247,5;511;10;15;22;32;18
MI_62;Mismatch_IS_Beta;282,84;556;11;14;25;27;28
MI_63;Mismatch_IS_Beta;210,27;420;11;7;17;32;13
MI_64;Mismatch_IS_Beta;256,19;513;10;15;23;29;20
MI_65;Mismatch_IS_Beta;162,47;323;6;6;20;14;17
MI_66;Mismatch_IS_Beta;246,11;491;8;15;26;33;14
MI_67;Mismatch_IS_Beta;223,61;468;8;13;21;32;17
MI_68;Mismatch_IS_Beta;81,14;160;3;4;6;12;6
MI_69;Mismatch_IS_Beta;213,01;428;11;10;17;25;16
MI_70;Mismatch_IS_Beta;65,3;127;2;3;7;7;6
MI_71;Mismatch_IS_Beta;80,11;156;3;4;7;10;6
MI_72;Mismatch_IS_Beta;112,52;214;4;5;11;10;11
MI_73;Mismatch_IS_Beta;226,23;469;9;14;26;23;17
MI_74;Mismatch_IS_Beta;176,39;363;9;7;17;24;12
