PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO
EX_01;Extreme_Bad_Profile;366,75;444;4;25;31;15;9
EX_02;Extreme_Bad_Profile;384,36;427;6;8;14;35;23
EX_03;Extreme_Bad_Profile;1680,0;336;16;19;1;1;7
EX_04;Extreme_Bad_Profile;63,36;144;1;5;3;8;11
EX_05;Extreme_Bad_Profile;56,72;432;2;11;21;9;43
EX_06;Extreme_Bad_Profile;951,61;440;7;33;23;3;7
EX_07;Extreme_Bad_Profile;1268,72;536;8;7;34;54;11
EX_08;Extreme_Bad_Profile;105,39;632;13;1;44;21;47
EX_09;Extreme_Bad_Profile;152,23;312;3;10;20;18;12
EX_10;Extreme_Bad_Profile;173,9;463;4;6;15;39;33
EX_11;Extreme_Bad_Profile;142,34;375;6;7;10;19;30
EX_12;Extreme_Bad_Profile;871,13;812;24;16;19;36;48
EX_13;Extreme_Bad_Profile;71,04;284;2;5;15;21;17
EX_14;Extreme_Bad_Profile;352,79;515;17;7;19;20;28
EX_15;Extreme_Bad_Profile;2108,42;874;29;19;44;35;27
EX_16;Extreme_Bad_Profile;704,42;826;29;19;49;8;35
EX_17;Extreme_Bad_Profile;3405,0;681;22;41;24;12;6
EX_18;Extreme_Bad_Profile;112,14;527;3;7;59;23;24
EX_19;Extreme_Bad_Profile;253,47;332;7;12;17;10;14
EX_20;Extreme_Bad_Profile;560,19;270;6;3;17;24;5
EX_21;Extreme_Bad_Profile;2800,0;560;15;31;19;13;13
EX_22;Extreme_Bad_Profile;1809,79;942;20;53;34;15;35
EX_23;Extreme_Bad_Profile;145,77;505;2;14;44;39;11
EX_24;Extreme_Bad_Profile;2255,0;451;3;31;6;20;20
EX_25;Extreme_Bad_Profile;3020,0;604;18;24;10;34;16
EX_26;Extreme_Bad_Profile;873,37;412;8;3;41;23;11
EX_27;Extreme_Bad_Profile;333,89;452;3;10;13;40;28
EX_28;Extreme_Bad_Profile;1295,0;259;8;4;6;18;11
EX_29;Extreme_Bad_Profile;225,26;644;1;27;40;35;29
EX_30;Extreme_Bad_Profile;274,78;740;7;19;57;31;37
EX_31;Extreme_Bad_Profile;1160,0;232;4;5;8;25;5
EX_32;Extreme_Bad_Profile;2015,0;403;12;9;15;35;4
