APPLICATION_DOMAIN;COMPONENTE_IFPUG;BETA_ORIGINAL;BOOTSTRAP_MEAN;BOOTSTRAP_STD_ERR;CI_95_LOWER;CI_95_UPPER;CI_95_FORMATTED;ACTIVE_COMPONENT;BOOTSTRAP_ITERATIONS
Billing;IFPUG_ILF;2.3927;2.4328;0.422;1.706;3.3484;[1.71, 3.35];True;1000
Billing;IFPUG_EIF;3.5542;2.9689;1.5152;-0.0;5.2419;[-0.00, 5.24];True;1000
Billing;IFPUG_EI;0.0377;0.0978;0.6973;-1.2274;1.3905;[-1.23, 1.39];True;1000
Billing;IFPUG_EQ;2.7935;2.7964;0.7274;1.4773;4.2333;[1.48, 4.23];True;1000
Billing;IFPUG_EO;2.4882;2.4253;0.4815;1.4975;3.2841;[1.50, 3.28];True;1000
Data Platform;IFPUG_ILF;2.7374;2.7264;0.492;1.8191;3.8133;[1.82, 3.81];True;1000
Data Platform;IFPUG_EIF;1.63;1.7362;1.2625;-0.8239;4.8032;[-0.82, 4.80];True;1000
Data Platform;IFPUG_EI;2.6936;2.6979;0.8174;1.1112;4.3998;[1.11, 4.40];True;1000
Data Platform;IFPUG_EQ;2.4262;2.4338;0.4344;1.6189;3.3012;[1.62, 3.30];True;1000
Data Platform;IFPUG_EO;1.812;1.8009;0.4283;0.9787;2.7545;[0.98, 2.75];True;1000
Integration;IFPUG_ILF;0.0;0.0;0.0;0.0;0.0;[0.00, 0.00];False;1000
Integration;IFPUG_EIF;0.0;0.0;0.0;0.0;0.0;[0.00, 0.00];False;1000
Integration;IFPUG_EI;1.8148;1.8274;0.3917;1.1629;2.7004;[1.16, 2.70];True;1000
Integration;IFPUG_EQ;1.9151;1.8803;0.679;0.5284;3.2305;[0.53, 3.23];True;1000
Integration;IFPUG_EO;1.7948;1.7998;0.2823;1.258;2.353;[1.26, 2.35];True;1000
