APPLICATION_DOMAIN;COMPONENTE_IFPUG;BETA_COEFFICIENT;R2;R2_ADJUSTED;ACTIVE_COMPONENT
Billing;IFPUG_ILF;2,392654;0,1249;0,0635;True
Billing;IFPUG_EIF;3,554239;0,1249;0,0635;True
Billing;IFPUG_EI;0,037726;0,1249;0,0635;True
Billing;IFPUG_EQ;2,793463;0,1249;0,0635;True
Billing;IFPUG_EO;2,488204;0,1249;0,0635;True
Data Platform;IFPUG_ILF;2,737369;0,0467;-0,0148;True
Data Platform;IFPUG_EIF;1,630008;0,0467;-0,0148;True
Data Platform;IFPUG_EI;2,69362;0,0467;-0,0148;True
Data Platform;IFPUG_EQ;2,426172;0,0467;-0,0148;True
Data Platform;IFPUG_EO;1,811973;0,0467;-0,0148;True
Integration;IFPUG_ILF;0,0;0,0003;-0,0264;False
Integration;IFPUG_EIF;0,0;0,0003;-0,0264;False
Integration;IFPUG_EI;1,814838;0,0003;-0,0264;True
Integration;IFPUG_EQ;1,915084;0,0003;-0,0264;True
Integration;IFPUG_EO;1,794778;0,0003;-0,0264;True
