APPLICATION_DOMAIN;COMPONENTE_IFPUG;VIF;VIF_FORMATTED;ACTIVE_COMPONENT
Billing;IFPUG_ILF;1.1045;1.10;True
Billing;IFPUG_EIF;1.039;1.04;True
Billing;IFPUG_EI;2.59;2.59;True
Billing;IFPUG_EQ;1.1269;1.13;True
Billing;IFPUG_EO;2.6046;2.60;True
Data Platform;IFPUG_ILF;2.1263;2.13;True
Data Platform;IFPUG_EIF;1.0253;1.03;True
Data Platform;IFPUG_EI;2.6071;2.61;True
Data Platform;IFPUG_EQ;1.0819;1.08;True
Data Platform;IFPUG_EO;1.5926;1.59;True
Integration;IFPUG_EI;3.0614;3.06;True
Integration;IFPUG_EQ;1.2755;1.28;True
Integration;IFPUG_EO;2.8693;2.87;True
Integration;IFPUG_ILF;;N/A (Variance ≈ 0);False
Integration;IFPUG_EIF;;N/A (Variance ≈ 0);False
