PROJECT_CODE;APPLICATION_DOMAIN;FP_EFFORT;IFPUG_FP;IFPUG_ILF;IFPUG_EIF;IFPUG_EI;IFPUG_EQ;IFPUG_EO;IFPUG_PROD_GREZZA_FP;IS_ILF;IS_EIF;IS_EI;IS_EQ;IS_EO;IFPUG_PROD_ATTESA_FP;STRUCTURAL_PROD_INDEX;DIST_STRUTTURALE;CLUSTER;DATASET_TYPE;CLASSE_COERENZA;NOTE_PROFILO
PRJ_BILLING_001;Billing;67,50;121,00;8,00;0,00;3,00;1,00;5,00;1,79;0,47;0,00;0,18;0,06;0,29;2,16;0,83;0,36;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_002;Billing;115,40;194,00;13,00;0,00;4,00;2,00;8,00;1,68;0,48;0,00;0,15;0,07;0,30;2,23;0,76;0,37;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_003;Billing;37,80;70,00;5,00;0,00;0,00;0,00;4,00;1,85;0,56;0,00;0,00;0,00;0,44;2,51;0,74;0,54;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_004;Billing;33,50;66,00;1,00;0,00;4,00;5,00;4,00;1,97;0,07;0,00;0,29;0,36;0,29;1,98;1,00;0,21;0;B;Alta coerenza;Struttura e resa in linea con il profilo strutturale di riferimento per il dominio/applicazione e cluster di appartenenza.
PRJ_BILLING_005;Billing;43,00;70,00;5,00;0,00;0,00;0,00;4,00;1,63;0,56;0,00;0,00;0,00;0,44;2,51;0,65;0,54;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_006;Billing;33,60;59,00;0,00;0,00;3,00;3,00;7,00;1,76;0,00;0,00;0,23;0,23;0,54;2,05;0,86;0,28;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
PRJ_BILLING_007;Billing;270,00;250,00;3,00;0,00;17,00;3,00;28,00;0,93;0,06;0,00;0,33;0,06;0,55;1,80;0,52;0,27;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_008;Billing;12,00;43,00;3,00;0,00;1,00;1,00;1,00;3,58;0,50;0,00;0,17;0,17;0,17;2,22;1,62;0,40;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_009;Billing;28,90;50,00;3,00;0,00;2,00;3,00;0,00;1,73;0,38;0,00;0,25;0,38;0,00;2,09;0,83;0,45;0;B;Bassa coerenza;Struttura e/o resa significativamente diverse dal profilo strutturale del dominio/cluster: possibile outlier o contesto non confrontabile.
PRJ_BILLING_010;Billing;110,30;99,00;3,00;0,00;10,00;1,00;5,00;0,90;0,16;0,00;0,53;0,05;0,26;1,41;0,63;0,25;0;B;Media coerenza;Struttura e/o resa moderatamente diverse ma ancora compatibili con il profilo strutturale del dominio/cluster.
